subject,content,copy_recipient,recipient,sender
 有沒有歌唱團體ぷらそにか的八卦？,   就是我的精神上的老婆幾田りら曾經待過的團體。   剛剛在Youtube上聽他們翻唱何なんｗ，聽完之後我覺得他們沒有超越原唱。   他們感覺就好像以前的goose house，就是好幾個人一起翻唱流行歌這樣。  我覺得他們不會超越goose house，理由不是因為幾田りら退團，  而是感覺他們的影片聽起來就給我一種她們就沒有想要用youtube紅的感覺。  有些歌聽起來甚至會有一種「他們真的覺得這樣ok嗎?」想法  像是藤井風的damn   但他們翻唱的踊り子就不錯聽，推薦給大家  ,L337,林阿鋒,neko fake
 有沒有PiTT新功能 鄉神榜的八卦？,如題  剛剛發現了這個新的功能  每個看版都有各自的 鄉神榜  ,,TURN WANG,高雄阿猛
 選了談判大師當班長？, 安安啦  我們班選了一個女班長  號稱是談判大師  很會喬 困難的溝通交給她  歹就部  結果 兩個學期過去了  暑假結束我發現我的課桌椅都搬走了  教室黑版也被扛走  後來一問 是班長談判拿去換好東西去了  有沒有談判大師 當班長的掛？  ----- Sent from JPTT on my Samsung SM-G950F.  -- ,,林阿鋒,古青箭
 美積電還會記得台灣阿爸嗎？, 台積電正在進行轉生儀式，準備快速轉化成美積電，待全部轉化結束，在台灣就只剩一個空 殼而已，以後的美積電還會記得台灣阿爸的養育之恩，偶爾給點孝親費？ 還是當不孝子在美國快樂又逍遙呢？   -- ,鄭世奇、陳永陽,阿浪,SHANG SIANG DAI
[新聞]林書豪要來了？傳加盟高雄鋼鐵人　霸氣,備註請放最後面 違者新聞文章刪除  1.媒體來源:tvbs ,planet ET、金仔、陳亮生,香酥派,蘇兆民
 CoCo壹番屋咖哩是不是過譽了？！,乳提  之前就想找機會去然後今天吃了一次  價錢就不便宜了味道也滿普  根本過譽了吧  然後就上餐跟倒水還要收10%服務費  究竟是什麼原因讓他可以開這麼多分店？！  有卦？！  -- ？？？：「お嬢ちゃん、魔法少女になる気ないかい？」 女の子：「魔法少女？どうやってなるの？」 ？？？：「簡単さ、まず吾の股間の魔法ステッキを握ったまま、手首を上下動かせて 　      、次第に魔法ステッキが大きくなるから。そう、その調子。最後に魔法ステ 　　　　ッキの先っちょから出る白い魔法薬液を飲んだら魔法少女になれるのさ。」  -- ,Weizeny、人類惡,Necron Soo,qcp ccc
 好想嚐嚐體會一下當宏樹的感覺,先被黑人痛扁一頓  然後青梅竹馬 姐姐 媽媽 學妹都被黑人幹走了  最後只剩孤單自己了  好想嚐嚐體會一下當宏樹的感覺  有人想跟我一樣嗎？ 有八卦？  -- ,_29 yoyo1103、沖田瓦,謝恵琪,TURN WANG
 一點一橫長，一撇到南洋，十字對十字..,一點一橫長 一撇到南洋 十字對十字 日頭對月亮  聽說這是哥 小學國語課 課文裡詩句   有點兒低級 不知幾年級  有沒有八卦   -- ,許智翔、大中間,蔡林翰,D.H.
 有沒有bbs鄉民小劇場的八卦?,剛剛不小心想到之前有一個叫bbs鄉民小劇場的動畫  那時候還蠻愛看了，想不到過去十年了  沒想到現在連影片最後的網址也進不去了  bbs上的梗每年都有新的，如果能一直持續推出  我覺得應該是台灣最強動畫小劇場吧  有八卦嗎?  01 星海篇 ,葉德瑞、Kobe、Sousuke,高皓愷,湯小雨
 急 看世足看到下面微勃開始腫脹,如題  我朋友啦  正在看西班牙跟摩洛哥  突然發現下體開始腫脹  緊張地私訊我  請問該注意什麼啊  有八卦嗎  嘻嘻  -- ,歌蝸牛、Brendan Wang、EN EN,哈酷那羊馬它它,高雄阿猛
 喝酒醉了怎麼解頭暈？, 大家好  打給賀  胎嘎賀   是這樣的啦   剛剛聚餐喝酒啦，我是司機所以沒喝，其他人都吐成白癡。  其中有一個一直喊頭暈，想請問有沒有什麼方法可以解暈的？    大家討論一下吧～ ----- Sent from JPTT on my iPhone  -- ,嚴威,Kevin Chen,スイカ
 為什麼踢自由球時要摸下體?, 為什麼對方踢自由球時要摸下體?  是怕有生理反應被鏡頭照到嗎?  有沒有八卦?  --  ,,Taylor Wang,Mars
 有求偶焦慮怎麼辦,肥肥邁入30  身邊朋友很多都結婚了  感覺現在不找這輩子大概就要單身一輩子了 目前在公司有發現兩個不錯的  台北女  短髮  很有個性   住新莊街 高雄女  長髮  很可愛  常常偷看我 住高翠路  目前還不知道有沒有男朋友  怎辦好焦慮 要出手嗎 ,,蔡光宇,佐冬塔天
 世足賺到台幣但賠光P幣是什麼感覺,運彩新手是我啦  砸了十萬買低賠率的，全部都中  大概可以賺三萬八  可是我的P幣全部在世足板賭輸了，現在是赤貧  有人一樣跟我要去PTT公園流浪的嗎？  -- ,Kevin Chu,中林紫,qcp ccc
 唯一有降價的日本商品是『日幣』嗎？,安安  大給賀阿!!!  是降的啦  本肥想問問說阿  雖然一直有放風聲說汽車零件短缺阿  所以想漲價 還有一堆日本商品阿  日幣跌之前價格多少 一般通路還是平價多啦  那日幣跌了以後唯一有降價的『日本商品』  就只有『日幣』了嗎？  還是有其它東西 本肥沒注意到阿o'_'o  -- ,,Moxingames,夢想JT
 為什麼會有人叫自己雞芭妹?有掛嗎?,大家都知道人的名字對人的性格都會有影響的，  有些人會刻意地用性器官當成自己的名字是甚麼原因呢?  比方說用個雞掰妹之類的當暱稱， 有甚麼好處嗎?  有沒有八卦?   ,Kevin Chu、beradzeroking、蝦皮,Jeff,香酥派
 啊依估～有人確診瘋狂烙賽嗎==？,安安 努估誰唷 各位西八老馬  昨天我啊發燒到38.9度油  然後昨天跟今天烙賽不下20次  肛門都擦破皮思密咑～（痛  現在還是有38度左右油  然後驗了兩次都是陰  症狀只有烙賽+發燒+肌肉痠痛  只是想問問這484比較可能是諾羅  金架很想知道內   卦 ？ ==         -- ,D DCCC、黑雅,Jimmy Good,井上清水
[新聞] 揭中共推「檢僑驛站」 向海外輸出鎮壓模,1.媒體來源:大紀元  2.記者署名:林燕  3.完整新聞標題: 揭中共推「檢僑驛站」 向海外輸出鎮壓模式  4.完整新聞內文: ,Derek871、For Lee,Hannibal Hsu,人類惡
 覺得台積電是我們的人有台積電股票嗎？,本魯看到一堆人在那邊擔心台積電去美國投資，說老美幹走台積電，不禁深感疑惑，台積 電股票大部分不都是外資買走了嗎？台灣人有的不多吧，所以台積電回去投資美國不是在 正常不過嗎？那些擔心的人在擔心什麼啊，是不是誤以為台積電說台灣人的了？如果真的 這麼擔心，趕快花錢把台積電股權買回來啊，不要只會在網路上擔心，一點用都沒有的， 等到把台積電股權都買下來了，台積電要投資那都是大家說了算，不就不用擔心了，還是 說一堆人連一張股票都沒有，在那邊擔心別人的公司啊，想想都覺得好笑，大家覺得呢？ ----- Sent from MeowPtt on my iPhone   -- ,YES MY余、大溪消防分隊桃園市政府、黑羽望月,jun wang,HE HE
 最近的『油電雙漲』怎麼沒人抗議阿？,安安  大給賀阿!!!  是降的啦  本肥想問問說阿  很久以前有過一次油電雙漲啦  結果一堆人賣一堆人抗議啦  阿怎麼 最近也算是『油電雙漲』了啦  這次怎麼沒人跑出來抗議阿？  還是說漲的不夠多 畢竟經濟最好啦  漲太少可能瞧不起大家賺錢的速度 對不對o'_'o  -- ,葉德瑞、粗獷暖男,Jo San,夜狼
 Taiwan's 'living hell' traffic is a,Taiwan's 'living hell' traffic is a tourism problem， say critics  如題阿  剛剛在臉書之前追蹤的粉專 我是台灣行人  看到他分享了一則CNN的報導  ,A7sHeNLe、生牛肉,迷霧 翔,上条先生
[新聞] 蔡總統指示政院提振興措施 協助產業恢復,中央社  記者葉素萍、賴于榛  蔡總統指示政院提振興措施 協助產業恢復元氣   總統蔡英文今天邀集行政院長蘇貞昌、副院長沈榮津及相關部會首長討論整體經濟情勢。 蔡總統並指示，維持經濟成長動能，穩定民生物價；持續維持國內投資成長，活絡內需及 消費市場，並提出相關振興措施以協助產業恢復元氣。  總統府發言人張惇涵晚間向媒體表示，國際經濟正面臨高通膨及衰退的雙重風險，加上持 續的疫情衝擊、美中競爭及烏俄戰爭等嚴峻挑戰，不僅加劇全球經濟金融的波動，影響全 球供應鏈重組進程，也連帶牽動台灣整體經濟環境的變化，蔡總統下午邀集蘇貞昌、沈榮 津及相關部會首長，就整體經濟情勢與政府各項因應方案進行深入討論。  張惇涵說，鑑於全球經濟面臨的重大變局，以及國際主要機構皆預測2023年全球經濟成長 動能將減緩，台灣雖預估明年可望連續5年經濟成長率高於全球平均，但仍將面臨各項挑 戰。  蔡總統認為，政府必須全力維繫台灣經濟成長動能，持續穩定民生物價，照顧弱勢族群及 年輕朋友，並協助受衝擊產業，減輕人民生活負擔。相關檢討及因應方案將持續進行。  張惇涵轉述，蔡總統也先初步就3個面向作出指示：  第一，維持經濟成長動能，穩定民生物價。持續維持國內投資成長，活絡內需及消費市場 ，並提出相關振興措施以協助產業恢復元氣。同時，也要加強穩定民生物價，從成本及供 給面雙管齊下，確保重要民生物資供應及價格的穩定。  第二，加強照顧弱勢族群，減輕人民生活負擔。對於經濟弱勢族群應持續給予協助，減少 生活負擔。中央政府也將主動規劃推動公共運輸補貼政策，減輕通勤族支出。同時，為減 輕人民租屋負擔，現行租金補貼政策朝向更簡政便民進行調整，並將加速推動相關修法， 及運用多元政策平抑房價。  第三，強化金融機構及國營事業因應經濟、金融波動的韌性，建立有效的應變機制，確保 整體經濟及金融的穩定。  張惇涵說明，總統並請行政院及相關部會陸續提出具體政策措施，因應國際及國內整體經 濟局勢變遷。今天與會者除蘇貞昌及沈榮津，另包括行政院秘書長李孟諺、行政院政務委 員兼發言人羅秉成、經濟部長王美花、財政部長蘇建榮、交通部長王國材、主計長朱澤民 、金管會主委黃天牧、中央銀行總裁楊金龍、國安會諮詢委員傅棟成、國發會副主委施克 和、內政部次長花敬群。  此外，行政院發言人羅秉成晚間透過媒體群組指出，為因應國際經濟局勢下的通膨衝擊， 以及振興疫後的國內經濟，蘇貞昌已針對今天的會議結論，包含維持經濟成長動能、穩定 民生物價、照顧弱勢、減低民眾負擔、確保整體經濟及金融的穩定等，指示各部會盤整現 有資源與規劃可行方案，且在近日進一步討論。（編輯：林興盟）1111206   ,cjmwwuh,Boris,diamonddevil
[新聞] 拿坡里披薩認證求正宗 義大利製造精神難捍衛,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,陳韋作、大溪消防分隊桃園市政府,嚴威,Derek871
 大富翁什麼時候才能結束？, 如題  台灣就像一場大富翁  中途加入的玩家發現  幹你的  房子一排，走一步就要跟你收租金  走沒幾步就沒錢了  在台灣  機會跟命運好像也沒什麼鳥用  有沒有這場大富翁什麼時候才能重新開始？  -- ,NeetAllen、廖志,林玉琦,TURN WANG
[新聞] 幼女夭折被嘲笑 押女爬行撞頭磕墳,1.媒體來源:  自由時報  2.記者署名:  〔記者陳冠備／彰化報導〕  3.完整新聞標題:  幼女夭折被嘲笑 押女爬行撞頭磕墳  4.完整新聞內文:  幼女夭折被嘲笑 押女爬行撞頭磕墳  ,Jo San、中林紫,YuLung Chen,walk junny
 各地天然氣公司還藉安檢換貴森森設備嗎?,這幾年大家都清楚天然氣公司是軍方退輔會承辦的民營企業  以前說有詐騙集團會用和他們公司相同名字但不同名目的企業登記  派人安檢，然後要求換設備，   現在呢，好像詐術被揭，外面的賺不到這筆，換他們公司自己賺  從高雄氣爆後，變成兩年要安檢一次，有合法公司通知書送到社區  社區管委會審核後讓他門進社區來  但是但是但是~它們要登門入室，仍是要一戶一戶按門鈴經過同意才能進門  社區公告，它們一次來兩天，下午3-10點  要是剛好都不在家，就逃過一次免破財  若是發現有人在家，不只狂按門鈴，裝作沒人不回應還狂拍大門  一個晚上樓上樓下來來回回好幾次  有些住戶有養狗，不讓入屋，但狗聽到門鈴聲或門外有陌生人的味道就會狂吠  昨天傍晚回到家在洗澡，就不讓他們進來，家人後來回來也跟上來要進門  家人急智說:[沒帶鑰匙，在洗澡沒人開門也進不去]  之後晚飯時間七點八點九點~甚至十點又來按門鈴和狂拍打大門了  好像沒讓他們賺到這筆是欠他們的  網上看基本上是要求換煮飯瓦斯爐和洗澡熱水器的兩個開關  一個就要一千多元，再狠一點可能會要求換掉機械式度數表，改成微電腦度數表  看新聞查過，若中華電信網路設備不支援，微電腦式的表還是不能用  又要換回機械式的  家人說，以前都是不讓進屋的，男性家人在，大聲一吼就走了  現在家裡的男性剛好到國外出差，昨晚一屋子娘兒們，光是吃個晚飯  拍門聲大到像是高利貸來討債似的，趕緊把屋裡的燈都關了，摸黑吃飯  後來整晚消化不良，睡覺前腸胃絞痛，今晚實在怕了，回家前看到又坐在大廳裡  趕緊傳訊息告訴家人，出去外食溜達到10點再回家  不知道各位鄉民所在地的[合法天然氣公司]安檢人員是不是還這樣惡行惡狀???  六都的???地方鄉鎮市的??大家來爆卦吧  -- ,Achang,Alice Cheng,阿舜
 謝謝你喜歡台灣這財富密碼會失效嗎?,乳題  台灣這幾年外國YT可以說是越來越多  大家也都愛酸他們都是靠財富密碼 "謝謝你喜歡台灣" 來台灣發展   只有少數幾個敢針對台灣狀況去批評  像是最近比較紅的錫蘭，他在半年前就對台灣黑道文化嗤之以鼻了  然後他訂閱人數竟然也沒掉，可能台灣也吃這一味就是    那所謂的財富密碼 謝謝你喜歡台灣  會有失效的一天嗎? 我光是看一個日本不到1萬人訂閱的小YT上傳台灣旅遊影片  下面就一堆台灣人留言了  -- ,盧仕其、奧茲國的大冰喵,Jarvis Hong,Ruben Tsai
 什麼樣的人，會把人殺掉丟水裡,南部也太多浮屍  每日都有欸  是什麼樣的人，會把人殺掉，丟到水裡  而被殺掉的人  都是怎樣的人？  有人可以解密嗎？  -- ,,diamonddevil,林阿鋒
 宵夜吃142元的鹽酥雞算合格的肥宅了吧,本魯剛好肚子餓  出門去買鹽酥雞  本魯隨便點了一些東西  剛好150 用line pay打95折  所以只要142  老闆還很貼心的只放一根竹籤  應該是知道本魯是合格的肥宅吧  有掛嗎？   -- ,Draz、陳宜軒,D DCCC,許智翔
[新聞] 「88會館」調查1個月沒下文？警政署長：,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,cjmwwuh、Hannibal Hsu,陈和文,狼狼&燐恩
 家人迷信中醫還有救嗎,如題  家人最近確診  雖症狀輕微  但已一個多禮拜仍是深深T線  待在家中不願就醫  持續吃原本已在吃的中藥調身體  一天到晚  提倡西藥很毒  面對這種家人還有救嗎？  求解惑   -- ,YUHN Z,Leo T,Brendan Wang
 高雄也太熱了吧, 在北部冷得要死，天氣陰雨綿綿，穿厚外套加長袖還是冷  結果出差來高雄，身體一陣熱，我回到夏天了嗎趕快換成短袖，可是我看高雄已經一堆人穿厚外套加長袖了....  晚上穿著吊嘎入睡= =  ----- Sent from JPTT on my Xiaomi 21091116AG.  -- ,HE HE,泠夜,廖志
 克拉克遇到兔田佩克拉 會說什麼,克拉克 就是那個超人  兔田佩克拉 是那個peko peko叫 很吵的那個   如果有一天兩個人相遇了  會有怎樣的互動??  -- ,太菲鴨、上条先生,林玉琦,笑面貓
 台灣旅館隔音是不是都很差?,好像google旅館評論裡面 都會有人抱怨,林玉琦、笑面貓、金宇彬,Jimmy Good,TURN WANG
 幹 劉德華少一條腿也太真實,安安大家好  劉德華在拆彈專家2裡面  飾演的角色少一條腿  必須接上義肢才能行走  幹  那個斷腿也太真實了吧  我還以為華仔真的為了演戲把腿切掉  ,陳亮生,woo wai kian woo wai kian,龍触发兔
 AI蘿莉下面都有穿嗎??,我最近看到一片電影預告 梅根娃娃?  ,,﻿張伯潤,5267 435
 王品集團旗下哪些餐廳推薦呀,公司發了一堆王品集團旗下的餐廳禮券  像是聚、品田牧場、原燒、之類的  小弟也沒有吃過所有的餐廳  各位推薦哪一些呀？陶板屋？  我用公司禮券吃過原燒覺得不錯  -- ,,湯小雨,Chi
 穴吹物業是什麼來頭,路上逛一逛  突然看到某棟大樓的物業叫穴吹物業  為什麼這個名稱看起來這麼色啊  這樣不會教壞小孩嗎  有沒有穴吹的八卦？？  -- Sent from nPTT on my iPhone  -- ,,Ruben Tsai,狼狼&燐恩
 為什麼88會館只有中天在報？,如題  為什麼88會館只有中天在報？  我剛剛去YT收尋只看到中天   這是發生什麼事情嗎？ 有卦嗎？  -- ,D DCCC、阿契爾、un known,WeiHeng,Hong Fly
 88會館不叫88可以叫什麼,  剛看到88會館的新聞  好奇呀  為什麼叫88  如果這個會館不叫88  那還能取什麼  集思廣益一下  有沒有掛呢？  -- ,葉德瑞,魆影吳,陳宜軒
 台灣主要政治人物年齡列表,謝長廷 76歲  蘇貞昌 75歲  吳敦義 74歲  游錫堃 74歲  陳    菊 72歲  馬英九 72歲  陳建仁 71歲  郝龍斌 70歲  張善政 68歲  陳時中 68歲  李鴻源 66歲  蔡英文 66歲  蘇嘉全 66歲  侯友宜 65歲  韓國瑜 65歲  李四川 64歲  柯文哲 63歲  賴清德 63歲  王世堅 62歲  朱立倫 61歲  盧秀燕 61歲  謝龍介 61歲  柯志恩 60歲  潘孟安 59歲  林佳龍 58歲  陳其邁 57歲  鄭文燦 55歲  黃珊珊 53歲  林右昌 51歲  江啟臣 50歲  蔣萬安 43歲  -- ,黃彥彰,葉德瑞,woo wai kian woo wai kian
[新聞] 日本對西班牙那球出界沒，科技說了算？ AI、VAR、門線技術，,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,Rafina、ASIEL R,雪納瑞,沖田瓦
 足球就不能11個人都守在門口不進攻ㄇ,我想到一招欸大家都把ok 練好比賽全都龜在球門口防守 只要撐過120分鐘不就好了ㄇ!? 接下來只要靠pk弱隊也有機會贏強隊! 有沒有這方面八卦 窩粉好奇？ ---- Sent from ,陳永陽,陳律安,陳亮生
[新聞]台鐵員工稱請病假遭刁難 主管反控近7成時, 1.媒體來源: 公視   2.記者署名: 林健生 王龍韜  3.完整新聞標題: 台鐵員工稱請病假遭刁難 主管反控近7成時間未到班難當面溝通  4.完整新聞內文: ,death7911、生牛肉、death7911,雷恩里歐,盧仕其
 足球賽欸，台灣隊進球了嗎？, 幹你娘這什麼爛廣告 台灣連資格賽都摸不到邊 真的是一日蝦妹的寫照 然後一堆賭博電玩是三小 政府都不管的喔 幹你娘～ ----- Sent from JPTT on my iPhone  -- ,凱、Ti an、Patrick Shih,笑面貓,黃新程
 做夢買房要去哪裡看裝潢設計啊？,大家好，我是八卦優文子啦！  我一直做夢有個溫暖的小窩，可以跟自己兩隻貓貓一起住，可是薪水薄弱還是個四十歲的 的處男，沒有人想跟我一起負擔房貸…  至少要給我一個做夢的機會吧？  有沒有讓我可以做夢怎麼裝潢的八卦啊？  ,盧仕其、陳宜軒、Alice Cheng,Nancy Fan,davin0330
 冷死你各位換棉被了嗎？,這波寒流有冷喔  今天終於 受不了啦 鋪了毛毯 換了厚被  你各位換了沒 不然這麼冷 怎麼睡得著  樓上都不冷喔 這天氣不是應該待在棉被裡嗎 怎麼還在走來走去 有沒有八卦？  -- ,JaJa的奇妙邏輯 _YT_,EN EN,上条先生
 88會館不叫88可以叫什麼,介紹一下 還有85會館  裡面主要是賣85度c的相關產品  去網上查你比較清楚  但是消費比85度c高很多就是了   -- Sent from nPTT on my iPhone 8  -- ,Jarvis Hong、Rafina、Leo T,某大大,Necron Soo
 張錫銘是台灣歷史上最著名的悍匪逃匪嗎??, 先上張錫銘最著名的一張圖片 ,5267 435、林玉琦,佐冬塔天,Patrick Shih
 慟！不小心在暈船對象面前滑Ptt！, 幹！剛剛跟暈船對象討論事情時  不小心無聊開始習慣動作滑Ptt  聽說女生最討厭滑八卦版的肥宅  下次要滑什麼才能把印象拉回來？ ----- Sent from JPTT on my iPhone  -- ,魆影吳、現在呢、Wan Chris,海陽,魔王子
 烏俄戰爭會打到何時,雙方開戰已經過了約十個月  感覺現在有點白熱化  俄羅斯是準備讓烏克蘭撐不過冬天嗎  這樣還要一段時間捏  戰爭何時才會結束呀  -- ,Re Re、ASIEL R,傑森,ASIEL R
[爆卦] 沈伯洋FB: 中共”共鳴者”不是他自創的,其實我真的不覺得沈伯洋是壞人 他真的有對台灣的關懷 問題是好人如果做壞事 有時候甚至比壞人做壞事更可怕 因為包裹在忠良看似正義的外表下 是從一開始就歪掉的邏輯 但就像他還是自認忠良~ 終究會吸引到一些同樣腦子不清楚的善良人  最後就變成偏執可怕的奇行種了 不信? 去看看共產黨最開始掌握的 是不是就是那些憂國憂民者?  他的論點有哪些問題?  (1)首先~沈伯洋的邏輯從一開始就大錯特錯了 他洋洋灑灑寫了一篇很長看似有理有據的文章 這種側翼圈很多 然後剛好有很多笨蛋沒啥邏輯判斷能力 就會膚淺的以為這就是有料 這就是事實  但翻開分析文章 根本不用太深刻看~ 因為一開始就錯了 就充滿盲點 他把很多共產黨跟中國那邊流傳攻擊DPP的文章 全都打成中共認知做戰台灣配合  可是撲馬哥~ 你怎麼沒想過最基本的邏輯 DPP做的爛 人民不爽所以批評 共產黨討厭DPP 所以當然樂見對DPP的批評 兩者看似結果類似一個鼻孔出氣~ 卻根本沒有多少陰謀論的因果關係  而只是單純都度爛DPP????????????????  是的~ 我也贊成共匪度爛DPP有其政治立場 不過他X的難道在島上厭惡DPP許多施政的人民 就得因此本末倒置的不準批評嗎? 那按照這邏輯的延伸... 豈非DPP反中的一天 我們就不得對他有異議 不支持他執政就是中共共鳴者?  幹你媽的~ 那這樣豈不是我們更被共產黨綁死死的 那萬一如果共產黨樂見台灣削弱 房價越來越高 越來越嘴巴喊不要身體卻很服貿 所以不斷幹DPP~ 那我們人民就必須持續對爛執政通通買單 反而中共匪圈套是嗎?  你認知的民主居然是這麼膚淺? 只要敵國不喜歡的我們就該擁戴 只要發出批評的人都是其心可議的中共共鳴者??????  (2)標準在哪????  WHA演說「中華台北」沒有矮化  某陸委會主委表示「台灣無法逃避『一個中國』問題，從文化、地理來看，『未來的 一個中國』是台灣民眾唯一的選擇  國營事業申請中國專利登記時都接受「中國台灣」  要終止ECFA？沒這想法|  我想請問上面這樣的人物~ 算不算中共共鳴者??  撲馬哥最喜歡講定義~ 但我說這些中共共鳴者的定義誰說了算? 他現在所謂的定義/滿足的條件 說穿了不就是他自己主觀認為怎樣就怎樣?  呃... 那跟麥卡錫主義有啥不一樣? 別的不說 哪時候的共諜跟潛藏的陰謀氛圍 遠比現在風聲鶴唳 那年代這種扣帽方式都是錯的了~ 為什麼到今天還會覺得這套有理據  真要說起來~ 那基於前幾天對黑道的一些發言 我是不是也可以說某人是"黑道共鳴者" "黑金共鳴者"  更甚者~ 如果認為台灣黑道有那麼多中國因素 那為何不見對執政黨嗆聲 民間都已經到了連老K腐敗時代都少見的直接擄人勒索程度 台灣哪個年代又這麼三不五時就又來個浮屍? 如果台灣黑道被中共滲透如此嚴重  那你要自立自強~ 去跟你總統說呀幹!! 但你大教授有過一絲一毫的批評嗎? 還喊著轉型正義呢!  又或者如果館長跟咆嘯帝辦反黑道遊行 你敢不敢一起走上街頭? 因為政治考量不敢 不會 就不要在那邊靠邀中國滲透黑道啦!  (3)最糟糕的是 現在這套扣帽方法 你們反而最像是在為你們口中萬惡KMT辯護的同路人  如果生在KMT白色恐怖 早期反共氛圍緊繃 甚至228的時代 現在這群人大概會做出這樣的結論與分析  -唱衰蔣公想反共大陸的人都是被認知作戰 -共產黨在台灣散播一些馬克思主義 毛澤東思想刊物 有在看的學生都是共鳴者 -蔣經國跟竹聯幫那些人掛勾 後者去殺江南 都是情有可原 -說蔣宋美齡將財物偷運出國的 都是抹黑應和共產黨 -所有關於蔣家的批評 都是惡意的協同作戰  有沒有發現~ 用你們的同樣邏輯 KMT所有的行為都可以找到理據洗白唷? 特別那個年代 是真的匪諜就在你身邊 民間社會比現在更不可信的時代  大教授真的沒想到自己的護航方式 有多可笑嗎?  -- ,,The Hong小魯蛇的脫貧日記,葉德瑞
 買樂高科技是不是智商稅？,樂高科技 像是保時捷都破萬 還越炒越高 可是組完都是破洞 而且外型也不是很好的比例還原 更氣人的是囤蟲到處搜刮囤貨 讓人買不到 然後再漫天喊價 跟囤房蟲是同一類人  不像外面賣的跑車玩具 完美比例還原 沒破洞 而且還可遙控 不只前後 還可自動開車門 自動開車蓋 還沒有囤蟲搜刮囤貨 再漫天喊價 輕鬆自在  買樂高科技是不是智商稅？  -- ,Pa Pu、零。。,YUHN Z,Hannibal Hsu
 次世代疫苗比高端更頂嗎,莫德納次世代疫苗  次世代聽起來比高端更猛  高端是不是弱掉了  次世代疫苗比高端更頂嗎  有沒有卦   -- ,刀渣版世雄,梁升豪,巧虎
[新聞] 美國大學生最後悔主修科系曝光 「這系」,備註請放最後面 違者新聞文章刪除  1.媒體來源: TVBS  2.記者署名: 編輯 劉哲琪 報導   3.完整新聞標題: 美國大學生最後悔主修科系曝光 「這系」以87%居冠   4.完整新聞內文:  受到通貨膨脹和沉重學生貸款影響，越來越多學生開始檢視讀大學的投資報酬率。根據就  業網站ZipRecruiter進行的調查，在畢業生最後悔主修的十大科系中，以新聞系居冠，畢  業生最不後悔選擇的主修科系則為資訊工程系。報導指出，工作前景與高收入，成為畢業  生是否會後悔的指標。   根據ZipRecruiter對1500多名求職中的大學畢業生進行的調查，有44%的人對自己選擇的  科系感到後悔。其中以87%的新聞系居冠，再來依序是社會（72%）、人文（72%）、大眾  傳播（64%）、教育（60%）、行銷管理（61%）、臨床醫療助理（58%）、政治科學（56%  ）、生物（52%）和英國文學（52%）。   國際招聘網站ZipRecruiter首席經濟學家布伯（Sinem Buber）指出，這些畢業生當初受  主修科系吸引時，可能沒考慮到薪水和就業保障，畢業後才遭受現實打擊。大部分後悔的  畢業生指出，如果能重讀大學，他們會選擇攻讀資訊工程或企管。   整體來說，跟收入最低的科系相比，收入最高的主修科系畢業生，在一生中可多賺340萬  美元（約1億元新台幣）。ZipRecruiter發現，畢業生入勞動力市場後，若擁有好的前景  和高起薪，將對主修科系最為滿意。  在對主修科系最滿意的畢業生中，以72%的資訊工程排名第一，接下來依序是犯罪學（72%  ）、工程（71%）、護理（69%）、醫療（67%）、企管（66%）、金融（66%）、心理（65%  ）、建築工程（65%）和人資管理（58%）。  5.完整新聞連結 (或短網址)需放媒體原始連結，不可用轉載媒體連結: ,Derek871、Necron Soo,夢想JT,羅傑恩
 台灣484早就錯過好幾個梅西嚕!?, 乳提  梅西原來才168  小時候還肉肉小小的  跟台灣肥宅身材幾乎毫無差異  台灣父母484短視近利  讓這些肥宅每天抱著一顆球踢  踢的差不多就去巴塞隆納報團 梅西模式  應該比每天蹲補習班考醫生強吧!?  Taiwan人484太現實了  以為只有念書能賺錢??  好幾個肥宅梅西被埋沒在台灣!?  0.0  -- ,思辰葉、可可顏,Achang,佐冬塔天
 看a片分類選milf的都是什麼人,如題 剛剛有個朋友說他都看milf片 感覺是個蠻特殊的分類 歐美片我不太熟  八卦板專家最多了 有沒有a片專家能分析一下 會看milf片的人是那種人 有卦嗎  -- ,J maximator,ININ!,林義傑
 住在東非是什麼感覺?,東非 衣索比亞 肯亞 索馬利亞 坦尚尼亞 莫三比克  窮 熱 足球又不強  而且當地人真的超黑  住這些國家是什麼感覺?  -- ,Drill,刀渣版世雄,Boris
[新聞] 被許信良點名出任黨主席　林飛帆：此刻,對!  你們知道  林飛帆是現代英雄!  因為他與陳為廷領導太陽花學運  拯救了台灣!   台灣現在經濟這麼發達，就是因為沒有被對岸掐脖子  都靠2014年，太陽花擋住服貿!!!   2014年，聽說當時很多學者就是出來講  黑箱服貿是很邪惡!  萬一通過，就是大財團得利，台灣經濟會完蛋，國家安全還會出問題   當時張慶忠立委(半分忠)很扯，30秒之內將服貿協議送交院會  這是非常離譜的時間!!!很誇張!!!    當時整個天下是大亂狀態  馬英九麻木不仁，非常離譜，難以溝通   太陽花學運 就是阻擋對岸經濟侵略的野心   你們知道太陽花很棒了吧!   -- ,巧虎、morenove,是華哥不是華歌爾哦,林玉琦
